k_ins,k_del,k_sub,nw_coeff,scrambled_correlation,fail_correlation,core_value_min,core_value_max,core_value_mean,core_value_std,fail_core_min,fail_core_max,fail_core_mean,fail_core_std
0.5,0.5,0.5,0.2,0.9967150265565402,-0.48926549921453055,0.0,0.87,0.4711459273503524,0.22374099541385975,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
0.5,0.5,0.5,0.5,0.942830694300654,-0.26754276952795236,0.0,0.675,0.37094071602485434,0.13592852747467915,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
0.5,0.5,0.5,0.8,0.41756923190783324,0.6346588201408585,0.0,0.4857142857142857,0.27073550469935637,0.07976920026060418,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
0.5,0.5,1.0,0.2,0.9962554604238187,-0.4870055868338427,0.0,0.8714285714285714,0.4741994843293275,0.22340470540539475,0.0,0.8875000000000001,0.46675961325517085,0.3534702395862094
0.5,0.5,1.0,0.5,0.9347735147834553,-0.2620551199590182,0.0,0.6785714285714286,0.37857460847229213,0.13592913103728588,0.0,0.71875,0.4050902049023029,0.20337468140860826
0.5,0.5,1.0,0.8,0.37813011420964865,0.6028530066602291,0.0,0.4857142857142857,0.2829497326152567,0.08345737176694046,0.0,0.55,0.343420796549435,0.10873501113449023
0.5,0.5,1.5,0.2,0.9962554604238187,-0.4870055868338427,0.0,0.8714285714285714,0.4741994843293275,0.22340470540539475,0.0,0.8875000000000001,0.46675961325517085,0.3534702395862094
0.5,0.5,1.5,0.5,0.9347735147834553,-0.2620551199590182,0.0,0.6785714285714286,0.37857460847229213,0.13592913103728588,0.0,0.71875,0.4050902049023029,0.20337468140860826
0.5,0.5,1.5,0.8,0.37813011420964865,0.6028530066602291,0.0,0.4857142857142857,0.2829497326152567,0.08345737176694046,0.0,0.55,0.343420796549435,0.10873501113449023
0.5,0.5,2.0,0.2,0.9962554604238187,-0.4870055868338427,0.0,0.8714285714285714,0.4741994843293275,0.22340470540539475,0.0,0.8875000000000001,0.46675961325517085,0.3534702395862094
0.5,0.5,2.0,0.5,0.9347735147834553,-0.2620551199590182,0.0,0.6785714285714286,0.37857460847229213,0.13592913103728588,0.0,0.71875,0.4050902049023029,0.20337468140860826
0.5,0.5,2.0,0.8,0.37813011420964865,0.6028530066602291,0.0,0.4857142857142857,0.2829497326152567,0.08345737176694046,0.0,0.55,0.343420796549435,0.10873501113449023
0.5,1.0,0.5,0.2,0.9944429846876737,-0.48926549921453055,0.0,0.89,0.48260566490609597,0.2227631886605683,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
0.5,1.0,0.5,0.5,0.9046452292473488,-0.26754276952795236,0.0,0.725,0.39959005991421337,0.13757413289945647,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
0.5,1.0,0.5,0.8,0.2802443858322569,0.6346588201408585,0.0,0.5666666666666667,0.31657445492233066,0.09772283465796786,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
0.5,1.0,1.0,0.2,0.9909776597992943,-0.42306156383880705,0.0,0.9111111111111112,0.495599031896165,0.22105919514177574,0.0,0.9555555555555556,0.5054336888651186,0.3382048536972199
0.5,1.0,1.0,0.5,0.8475807118874711,0.09995491987527999,0.0,0.7777777777777778,0.43207347738938573,0.13957888081627912,0.0,0.8888888888888888,0.5017753939271723,0.19364620949515626
0.5,1.0,1.0,0.8,0.14644015877771266,0.8902630187022719,0.0,0.76,0.3685479228826065,0.11980327391856323,0.0,0.8222222222222222,0.4981170989892259,0.20420173947750783
0.5,1.0,1.5,0.2,0.9913898314248076,-0.45389442708000255,0.0,0.9071428571428573,0.4961194658670508,0.22126202176541995,0.0,0.93125,0.49699039901992315,0.3473577603455289
0.5,1.0,1.5,0.5,0.8542748372178881,-0.08564867563474317,0.0,0.7678571428571428,0.43337456231660026,0.13934023154003528,0.0,0.828125,0.48066716931418363,0.1996505120604357
0.5,1.0,1.5,0.8,0.1594038281000247,0.794388314277045,0.0,0.6285714285714286,0.3706296587661499,0.11739234244148244,0.0,0.725,0.4643439396084442,0.15542039769384003
0.5,1.0,2.0,0.2,0.9913898314248076,-0.45389442708000255,0.0,0.9071428571428573,0.4961194658670508,0.22126202176541995,0.0,0.93125,0.49699039901992315,0.3473577603455289
0.5,1.0,2.0,0.5,0.8542748372178881,-0.08564867563474317,0.0,0.7678571428571428,0.43337456231660026,0.13934023154003528,0.0,0.828125,0.48066716931418363,0.1996505120604357
0.5,1.0,2.0,0.8,0.1594038281000247,0.794388314277045,0.0,0.6285714285714286,0.3706296587661499,0.11739234244148244,0.0,0.725,0.4643439396084442,0.15542039769384003
0.5,1.5,0.5,0.2,0.9933842782477105,-0.48926549921453055,0.0,0.9,0.48722791539777627,0.22257384880025421,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
0.5,1.5,0.5,0.5,0.8879998777426258,-0.26754276952795236,0.0,0.75,0.41114568614341396,0.13895943674199487,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
0.5,1.5,0.5,0.8,0.24370248701117941,0.6346588201408585,0.0,0.6,0.33506345688905154,0.10541773226843332,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
0.5,1.5,1.0,0.2,0.9863417561146801,-0.42306156383880705,0.0,0.9400000000000001,0.511932333446824,0.22002656483921382,0.0,0.9555555555555556,0.5054336888651186,0.3382048536972199
